rdt: non_neg_counter
read_ratio: 0.0
num_clients: 100
key_range: 10
duration: 5s
rt_latency: 20ms

latency
delete_ratio,RedBlue,semi-serializable,strict
0.01,0.781,0.846,23.032
0.05,4.095,1.257,23.032
0.10,7.979,2.234,23.032
0.15,11.904,3.332,23.032
0.20,16.034,4.451,23.032
0.50,38.890,11.241,23.032
0.90,65.689,20.174,23.032
0.99,47.227,22.215,23.032

throughput
delete_ratio,RedBlue,semi-serializable,strict
0.01,126329,67092,4257
0.05,24406,65435,4257
0.10,12517,43163,4257
0.15,8389,29199,4257
0.20,6271,21906,4257
0.50,2573,8697,4257
0.90,1520,4857,4257
0.99,2107,4408,4257
